complex,class_type,trial,vertices,edges,faces,h1_dimension,exact,coexact,harmonic,distance_to_coboundaries,classified_nontrivial,expected_nontrivial,classification_correct,runtime_seconds
triangle_complex,trivial_exact,66,3,3,1,0,0.999934621484755,0.011434717142975233,1.8211224264467816e-16,0.010261260667891308,False,False,True,5.1083043217658997e-05
triangle_complex,trivial_exact,67,3,3,1,0,0.998540645461186,0.05400536419613895,8.078117060296503e-17,0.01004355921514694,False,False,True,5.137501284480095e-05
triangle_complex,trivial_exact,68,3,3,1,0,0.9999814686126529,0.006087892187084137,1.5110632699536928e-16,0.014608832913449785,False,False,True,5.116616375744343e-05
triangle_complex,trivial_exact,69,3,3,1,0,0.9999975506223281,0.0022133118498641963,2.0962829505175056e-16,0.0025322499079165573,False,False,True,5.1167095080018044e-05
triangle_complex,trivial_exact,70,3,3,1,0,0.9999996579922181,0.0008270522637320709,4.75328575678653e-17,0.0031545232328495623,False,False,True,5.1250215619802475e-05
triangle_complex,trivial_exact,71,3,3,1,0,0.9999999999668135,8.146975330895562e-06,1.868605927763876e-16,1.7227413572641292e-05,False,False,True,5.091703496873379e-05
triangle_complex,trivial_exact,72,3,3,1,0,0.9999940168156677,0.0034592387697301268,1.4800851400059755e-16,0.006355938646656655,False,False,True,5.154102109372616e-05
triangle_complex,trivial_exact,73,3,3,1,0,0.9999993616646928,0.001129898317099616,1.7879814610440964e-16,0.003580314172345277,False,False,True,5.133403465151787e-05
triangle_complex,trivial_exact,74,3,3,1,0,0.9999995203907116,0.000979396930197447,2.3395820299731536e-16,0.006616401615751753,False,False,True,5.116686224937439e-05
triangle_complex,trivial_exact,75,3,3,1,0,0.9999726536095862,0.007395406209419938,7.34907693702596e-17,0.009122635977947649,False,False,True,5.12909609824419e-05
triangle_complex,trivial_exact,76,3,3,1,0,0.9998944500696452,0.014528892591045568,1.2455517747462136e-16,0.013989910379835865,False,False,True,5.0957780331373215e-05
triangle_complex,trivial_exact,77,3,3,1,0,0.9999881823991864,0.004861590477563074,1.4918307429937216e-16,0.006768665807617593,False,False,True,5.112495273351669e-05
triangle_complex,trivial_exact,78,3,3,1,0,0.9999496198475627,0.01003781683011754,1.4944916694128014e-16,0.006088593712605665,False,False,True,5.1083043217658997e-05
triangle_complex,trivial_exact,79,3,3,1,0,0.9999978085786501,0.00209352284390908,6.121240239474515e-17,0.005851732994468443,False,False,True,5.129212513566017e-05
